Metric,Value,Description
MAE,25.697303643380888,平均绝对误差 - 所有预测的平均绝对偏差（实际时间，秒）
MSE,15636.692253742736,均方误差 - 所有预测的均方偏差（实际时间，秒²）
ACC,0.9260312944523471,求解器选择准确率 - 正确选择最佳求解器的比例
Actual_Time,101183.38794925717,实际总时间 - 使用预测最佳求解器的总时间（秒）
VBS_Time,98747.45945361165,虚拟最佳求解器总时间 - 理论最优情况下的总时间（秒）
Average_Cost,0.5775079411203231,平均额外成本 - 相比虚拟最佳求解器的平均额外时间（秒）
Segment_1_Count,3726,第1段benchmark数量
Segment_1_ACC,0.9422973698336017,第1段求解器选择准确率
Segment_1_Average_Cost,0.17815142124491357,第1段平均额外成本（秒）
Segment_1_Time_Range,"[1.009, 5.564]",第1段时间范围（秒）
Segment_2_Count,231,第2段benchmark数量
Segment_2_ACC,0.6623376623376623,第2段求解器选择准确率
Segment_2_Average_Cost,2.088073998818666,第2段平均额外成本（秒）
Segment_2_Time_Range,"[5.564, 30.673]",第2段时间范围（秒）
Segment_3_Count,128,第3段benchmark数量
Segment_3_ACC,0.875,第3段求解器选择准确率
Segment_3_Average_Cost,3.463264048099518,第3段平均额外成本（秒）
Segment_3_Time_Range,"[30.673, 169.094]",第3段时间范围（秒）
Segment_4_Count,4217,第4段benchmark数量
Segment_4_ACC,0.9260137538534503,第4段求解器选择准确率
Segment_4_Average_Cost,0.5776448886994363,第4段平均额外成本（秒）
Segment_4_Time_Range,"[169.094, 932.188]",第4段时间范围（秒）
Top_3_ACC,0.9717875770507349,Top-3准确率 - 最佳求解器在预测前3名中的比例
Top_5_ACC,0.9888572783309626,Top-5准确率 - 最佳求解器在预测前5名中的比例
Kendall_Tau,0.21403508771929822,Kendall相关系数 - 预测排序与真实排序的相关性
Relative_Error,0.35490116292215995,相对误差 - 预测误差相对于真实值的比例
